,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FGD2,1.59E-301,0.942453198,0.211,0.005,2.49E-297
TNFRSF1B,5.73E-299,0.955065153,0.211,0.005,9.00E-295
RHBDF2,1.89E-298,1.350318901,0.325,0.018,2.97E-294
ST6GAL1,1.87E-294,2.23905994,0.72,0.125,2.93E-290
RBM47,1.85E-293,1.334632805,0.288,0.014,2.91E-289
SLC11A1,2.75E-288,1.235649018,0.286,0.014,4.32E-284
PALD1,5.11E-287,1.3884336,0.4,0.032,8.03E-283
PLA2G4A,4.50E-277,1.566422413,0.376,0.03,7.06E-273
SERPINE1,2.35E-270,2.130364781,0.389,0.033,3.69E-266
ARHGAP15,2.50E-270,1.464676085,0.378,0.031,3.93E-266
IGSF21,2.07E-267,1.375090532,0.394,0.034,3.26E-263
SYK,3.38E-258,0.973050437,0.215,0.007,5.30E-254
TLR2,1.80E-254,1.073523764,0.28,0.016,2.83E-250
RUNX1,3.50E-245,1.603957423,0.411,0.042,5.50E-241
ATP8B4,8.80E-238,1.321680472,0.389,0.038,1.38E-233
CD86,1.50E-224,1.109094781,0.215,0.01,2.35E-220
ARHGAP25,3.31E-222,0.901163435,0.198,0.008,5.20E-218
FYB1,1.22E-221,1.12278641,0.254,0.015,1.92E-217
SRGAP2C,1.36E-216,1.620342814,0.54,0.087,2.13E-212
PTPRC,8.03E-216,1.148777515,0.275,0.019,1.26E-211
AOAH,1.96E-214,1.339437167,0.37,0.039,3.08E-210
ADAM28,6.03E-213,0.98976649,0.252,0.016,9.47E-209
CARD11,2.83E-212,0.761793088,0.161,0.005,4.45E-208
FAM149A,2.02E-211,1.342279821,0.353,0.035,3.17E-207
DOCK2,2.75E-211,1.029759608,0.284,0.021,4.31E-207
WDFY4,1.42E-210,0.734903487,0.166,0.005,2.24E-206
PIK3AP1,1.24E-208,0.78212156,0.181,0.007,1.95E-204
OLR1,4.60E-203,1.459684635,0.37,0.041,7.23E-199
SMAP2,1.02E-202,1.659968671,0.555,0.101,1.60E-198
LPCAT2,5.73E-199,1.460819026,0.387,0.047,8.99E-195
KLHL6,6.41E-196,0.81078548,0.146,0.004,1.01E-191
ABCC4,4.78E-192,1.636384317,0.594,0.118,7.51E-188
TAL1,1.05E-191,0.751049988,0.183,0.008,1.65E-187
SP100,1.08E-191,1.006213147,0.222,0.013,1.69E-187
P2RY12,3.80E-185,1.03708069,0.28,0.024,5.97E-181
LYN,1.58E-180,1.268360834,0.422,0.061,2.47E-176
SYNDIG1,4.55E-180,1.613827786,0.518,0.094,7.14E-176
SH3TC1,5.09E-179,0.914608896,0.2,0.011,7.99E-175
B4GALT1,4.53E-178,1.126937535,0.28,0.026,7.11E-174
PDGFB,1.48E-176,0.70133618,0.151,0.005,2.32E-172
IRAK2,2.26E-176,1.386069524,0.323,0.036,3.54E-172
SRGN,2.34E-176,1.383255796,0.351,0.043,3.67E-172
HCLS1,2.27E-169,0.856315419,0.206,0.013,3.56E-165
SAMSN1,2.46E-168,0.802607465,0.191,0.011,3.86E-164
CSF3R,3.01E-162,0.699822391,0.14,0.005,4.72E-158
CSF1R,1.57E-159,1.007468799,0.215,0.016,2.46E-155
CD83,2.88E-154,1.353763218,0.329,0.043,4.53E-150
ARHGAP22,1.85E-151,1.517769722,0.497,0.101,2.91E-147
RCSD1,5.29E-147,0.705535001,0.129,0.005,8.31E-143
IL1RAP,5.48E-141,1.267856373,0.357,0.055,8.61E-137
CD53,8.43E-141,0.73564291,0.168,0.011,1.32E-136
LHFPL2,3.36E-139,1.351853068,0.434,0.084,5.27E-135
FAM105A,1.19E-138,0.611042358,0.142,0.007,1.86E-134
SPTLC2,7.23E-138,1.624381611,0.626,0.183,1.14E-133
FMN1,5.01E-136,1.341275209,0.383,0.066,7.87E-132
RIN3,4.57E-134,1.254093221,0.409,0.076,7.18E-130
MSR1,2.17E-130,1.014209918,0.191,0.016,3.41E-126
LRRK1,1.11E-127,0.934336553,0.209,0.02,1.74E-123
CD74,6.25E-127,0.954937599,0.245,0.028,9.82E-123
MRC1,1.01E-124,1.285942005,0.232,0.026,1.59E-120
ALOX5,4.72E-122,0.592304566,0.127,0.007,7.41E-118
SDK1,3.54E-117,1.349768035,0.617,0.191,5.55E-113
RGS10,1.34E-116,0.561772155,0.123,0.006,2.10E-112
CMTM7,5.49E-114,0.537849082,0.123,0.007,8.62E-110
ITGAX,7.92E-112,0.624543541,0.12,0.007,1.24E-107
SUSD6,2.95E-111,1.291898455,0.49,0.128,4.64E-107
LY86,1.33E-109,0.549879197,0.101,0.004,2.08E-105
PLCG2,7.13E-106,0.65097712,0.131,0.009,1.12E-101
ACSL1,1.64E-105,1.028020333,0.312,0.055,2.58E-101
DAGLB,2.98E-101,0.825793188,0.239,0.034,4.68E-97